iteration,utility,type,mean,std
0,util,subjective,0.5342857142857143,0.18363673101967332
1,util,subjective,0.487142857142857,0.1852686962115251
2,util,subjective,0.47428571428571453,0.17482352618032404
3,util,subjective,0.49285714285714294,0.17305773485122453
4,util,subjective,0.4557142857142857,0.21730726858435234
5,util,subjective,0.5114285714285713,0.17977309961987867
6,util,subjective,0.4800000000000001,0.1900805414683416
7,util,subjective,0.5214285714285714,0.19522357669594925
8,util,subjective,0.4985714285714284,0.20750706897228688
9,util,subjective,0.5171428571428571,0.1882031034899939
0,util,objective,0.5342857142857143,0.18363673101967332
1,util,objective,0.487142857142857,0.1852686962115251
2,util,objective,0.47428571428571453,0.17482352618032404
3,util,objective,0.49285714285714294,0.17305773485122453
4,util,objective,0.4557142857142857,0.21730726858435234
5,util,objective,0.5114285714285713,0.17977309961987867
6,util,objective,0.4800000000000001,0.1900805414683416
7,util,objective,0.5214285714285714,0.19522357669594925
8,util,objective,0.4985714285714284,0.20750706897228688
9,util,objective,0.5171428571428571,0.1882031034899939
